sentence_id,sentence_type,sentence_start,sentence_end
T1,Sentence,0,12
T2,Sentence,16,48
T3,Sentence,52,80
T4,Sentence,84,131
T5,Sentence,135,141
T6,Sentence,145,154
T7,Sentence,158,162
T8,Sentence,182,206
T9,Sentence,226,237
T10,Sentence,257,271
T11,Sentence,291,302
T12,Sentence,306,317
T13,Sentence,321,348
T14,Sentence,352,379
T15,Sentence,383,410
T16,Sentence,414,441
T17,Sentence,445,455
T18,Sentence,459,501
T19,Sentence,505,547
T20,Sentence,551,573
T21,Sentence,577,639
T22,Sentence,643,705
T23,Sentence,709,761
T24,Sentence,765,797
T25,Sentence,801,850
T26,Sentence,854,858
T27,Sentence,862,879
T28,Sentence,883,968
