file_id,sentence_id,sentence_type,sentence_start,sentence_end
315098,T1,Sentence,0,13
315098,T2,Sentence,15,36
315098,T3,Sentence,40,145
315098,T4,Sentence,146,256
315098,T5,Sentence,260,397
315098,T6,Sentence,401,471
672691,T1,Sentence,0,12
672691,T2,Sentence,16,48
672691,T3,Sentence,52,80
672691,T4,Sentence,84,131
672691,T5,Sentence,135,141
672691,T6,Sentence,145,154
672691,T7,Sentence,158,162
672691,T8,Sentence,182,206
672691,T9,Sentence,226,237
672691,T10,Sentence,257,271
672691,T11,Sentence,291,302
672691,T12,Sentence,306,317
672691,T13,Sentence,321,348
672691,T14,Sentence,352,379
672691,T15,Sentence,383,410
672691,T16,Sentence,414,441
672691,T17,Sentence,445,455
672691,T18,Sentence,459,501
672691,T19,Sentence,505,547
672691,T20,Sentence,551,573
672691,T21,Sentence,577,639
672691,T22,Sentence,643,705
672691,T23,Sentence,709,761
672691,T24,Sentence,765,797
672691,T25,Sentence,801,850
672691,T26,Sentence,854,858
672691,T27,Sentence,862,879
672691,T28,Sentence,883,968
